sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
MBLUSDT,0.22618751285801864,0.10673297773197077,1.3648344933499423,1.5648344933499423,38476.872375499996,2,550808.847892,261
LUNAUSDT,0.21119324181625326,0.0,0.7938550542292422,0.9938550542292421,80047.4374075,2,543936.754529,262
TREEUSDT,0.2570698334498063,0.0004672900320461848,0.7545304031610134,0.9545304031610133,124093.82681500001,2,542112.9765,263
BABYUSDT,0.07902019947995642,8.830615392629599e-05,0.6771490090651144,0.8771490090651144,141578.67772500002,2,541890.17192,264
2ZUSDT,0.035029337069794525,0.02476948178252961,0.520553981257188,0.720553981257188,70640.340135,2,540600.36716,265
COOKIEUSDT,0.8510638297872288,0.0,1.5259743451336738,1.7259743451336738,127678.22985,2,536245.83083,266
MIRAUSDT,0.0349473874058997,0.01646155980244137,0.5178578783823051,0.7178578783823051,61968.7972645,2,535407.815075,267
LINEAUSDT,0.03941664759859026,3.2958350975878343e-05,0.6808905008548249,0.8808905008548249,174529.57951349998,2,534917.864685,268
IOUSDT,0.10743703302462917,0.05067048368554921,0.6595902515561802,0.8595902515561802,189093.095268,2,529604.585796,269
DUSKUSDT,0.13513519682943997,0.00012912839737174147,1.034719642132198,1.234719642132198,141587.30425000002,2,529396.798,270
