ranking,objetivo,semanas,spread,sd_sem,sem_ok,p,spread_crudo,atr_ratio,atr_propio,sin_top3,sin_top1,fdr_ok,veredicto
beta_ORO ~ sin roc_168 [bajo],magnitud,195,-0.973501612173802,34.62751909601596,0.46153846153846156,1.0,0.011044196403629055,1.0722145891040291,0.8228971645666796,-0.17141591520729269,0.2631751818320722,False,spread <= 0
beta_ORO [bajo],magnitud,195,-1.0271460843503148,34.63814126286323,0.46153846153846156,1.0,0.010698597907488446,1.0726058002962737,0.8228971645666796,-0.18124363917516506,0.2305460259469448,False,spread <= 0
CTRL atr_24,magnitud,203,-1.2263132116018844,31.684401283828564,0.6354679802955665,1.0,0.0839395108573256,1.766078985511015,1.1164223969756288,-1.539634081314339,-1.3266612121204395,False,spread <= 0
beta_T10,magnitud,195,-1.7655172392316372,34.144974393593984,0.4205128205128205,1.0,0.011987354218829729,1.0718005794965075,0.8193324815643175,-0.5840623610417295,-0.5171752460084863,False,spread <= 0
CONTROL azar 3,magnitud,203,-1.854098835286981,33.028082335750234,0.4039408866995074,1.0,-0.0017804295985250687,1.0090925557494745,0.8082914582890363,-0.43513830679022864,-0.4251722309131435,False,control
beta_NDX x d_NDX ~ sin roc_168 [bajo],magnitud,194,-2.08552936782922,33.23002960699455,0.4175257731958763,1.0,-0.008096628390987922,0.9397661330044849,0.8078913900596387,-0.1051211113344397,-2.4889851004515124,False,spread <= 0
beta_NDX x d_NDX [bajo],magnitud,194,-2.3484147751839517,33.24449470673134,0.38144329896907214,1.0,-0.011802004598039165,0.9257300212793215,0.7997564446633993,-0.29245118270801906,-2.7301125812016713,False,spread <= 0
beta_T10 x d_T10 [bajo],magnitud,194,-2.3656063561328806,34.2169349708068,0.3402061855670103,1.0,0.007327743751105088,1.0717037810031536,0.8060054256183725,-0.9490921695226598,-0.852196668611071,False,spread <= 0
beta_T10 x d_T10,magnitud,194,-2.511658401153232,32.54065219357239,0.4845360824742268,1.0,0.017749648064860728,1.085159367951078,0.8157686967602475,0.08310378722218628,0.1764036627093016,False,spread <= 0
beta_T10 x d_T10 ~ sin roc_168,magnitud,194,-2.5786781471464835,32.481500702554,0.4793814432989691,1.0,0.017553114299585025,1.0697278653879676,0.8107870897005536,-0.051786848831282574,0.11794476898597926,False,spread <= 0
